Players,ATT,K%,E%,B%,Eff,FBSO,Trans,Pass Average,Ace Percentage,Year
9 Barton K.,666,37%,11%,6%,0.200,0.180,0.215,1.93,10%,2023
18 Endsley M.,820,35%,8%,5%,0.221,0.220,0.221,1.87,8%,2023
1 Wilmes A.,742,34%,8%,7%,0.186,0.201,0.174,2.07,10%,2023
7 Pertofsky M.,541,38%,6%,4%,0.281,0.298,0.259,,10%,2023
12 Wessels K.,192,40%,13%,6%,0.208,0.208,0.209,,,2023
19 Hani E.,261,36%,10%,7%,0.188,0.171,0.207,,7%,2023
6 Wilson M.,113,35%,5%,2%,0.283,0.200,0.349,,6%,2023
5 Litzau K.,12,25%,17%,0%,0.083,0.333,0.000,,8%,2023
Team,"3,358",36%,8%,6%,0.218,0.219,0.217,2.14,8%,2023
9 Barton K.,261,43%,8%,7%,0.276,0.310,0.248,,,2024
18 Endsley M.,400,37%,8%,5%,0.237,0.265,0.218,,,2024
1 Wilmes A.,261,31%,7%,7%,0.172,0.222,0.137,,,2024
4 Bush E.,336,37%,8%,5%,0.238,0.288,0.187,,,2024
14 Fletcher K.,280,38%,11%,4%,0.221,0.205,0.242,,,2024
2 Hunt J.,186,51%,8%,9%,0.339,0.316,0.363,,,2024
12 Wessels K.,124,48%,11%,6%,0.298,0.304,0.291,,,2024
19 Hani E.,25,40%,4%,0%,0.360,0.333,0.368,,,2024
Team,"1,909",39%,9%,6%,0.243,0.263,0.225,2.18,7%,2024